Pkt-Cnt,rx_time,port,millis,UTC,Alt,Lng,Lat,VBAT,VSOLAR,V3V3,V5V,V3V3EF,EPS,TS,T,H,PAY,Ax,Ay,Az,Gx,Gy,Gz,Sat,raw
,2025-09-21T01:12:29Z,COM6,,UTC=9:12:21,N/A,N/A,N/A,,,,,,,,33,7,,15.98,-12.32,1013.94,-17.50,-595.00,35.00,,"Package=65,UTC=9:12:21,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.98,Ay=-12.32,Az=1013.94,Gx=-17.50,Gy=-595.00,Gz=35.00,T=33,H=7"
,2025-09-21T01:12:37Z,COM6,,V5V=5.000,,,,,,,,3.353,0.117,0.127,,,,,,,,,,,"Package=73=3.352,V5V=5.000,V3V3EF=3.353,TS=0.127,EPS=0.117"
,2025-09-21T01:12:37Z,COM6,,UTC=9:12:29,N/A,N/A,N/A,,,,,,,,33,73,SAT=0,15.74,-12.32,1014.67,-105.00,-577.50,0.00,,"Package=73,UTC=9:12:29,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.74,Ay=-12.32,Az=1014.67,Gx=-105.00,Gy=-577.50,Gz=0.00,T=33,H=73,SAT=0,VB"
,2025-09-21T01:12:45Z,COM6,,UTC=9:12:35V=5.000,,,,,,,,3.344,0.127,0.144,,,,,,,,,,,"Package=80,UTC=9:12:35V=5.000,V3V3EF=3.344,TS=0.144,EPS=0.127"
,2025-09-21T01:12:45Z,COM6,,UTC=9:12:37,N/A,N/A,N/A,8.325,,,,,,,34,73,SAT=0,15.74,-12.44,1014.06,-52.50,-577.50,-17.50,,"Package=81,UTC=9:12:37,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.74,Ay=-12.44,Az=1014.06,Gx=-52.50,Gy=-577.50,Gz=-17.50,T=34,H=73,SAT=0,VBAT=8.325"
,2025-09-21T01:12:53Z,COM6,,UTC=9:12:45,N/A,N/A,N/A,8.341,0.,,,,,,33,73,SAT=0,15.49,-12.57,1015.04,-17.50,-612.50,17.50,,"Package=89,UTC=9:12:45,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.49,Ay=-12.57,Az=1015.04,Gx=-17.50,Gy=-612.50,Gz=17.50,T=33,H=73,SAT=0,VBAT=8.341,VSOLAR=0."
,2025-09-21T01:12:57Z,COM6,,UTC=9:12:48,N/A,N/A,N/A,8.319,0.185,3.355,5.000,,,,34,72,SAT=0,15.49,-12.69,1013.33,-157.50,-700.00,35.00,,"Package=92,UTC=9:12:48,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.49,Ay=-12.69,Az=1013.33,Gx=-157.50,Gy=-700.00,Gz=35.00,T=34,H=72,SAT=0,VBAT=8.319,VSOLAR=0.185,V3V3=3.355,V5V=5.000,V3V3EF="
,2025-09-21T01:12:59Z,COM6,,UTC=9:12:50,N/A,N/A,N/A,8.330,0.158,3.354,5.000,,,,34,72,SAT=0,15.49,-12.44,1014.80,-70.00,-630.00,-70.00,,"Package=94,UTC=9:12:50,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.49,Ay=-12.44,Az=1014.80,Gx=-70.00,Gy=-630.00,Gz=-70.00,T=34,H=72,SAT=0,VBAT=8.330,VSOLAR=0.158,V3V3=3.354,V5V=5.000,V3V3EF="
,2025-09-21T01:13:00Z,COM6,,UTC=9:,,,,,,,,,,,,,,,,,,,,,"Package=96,UTC=9:"
,2025-09-21T01:13:01Z,COM6,,UTC=9:12:53,N/A,N/A,N/A,8.325,0.191,3.34,,,,,34,72,SAT=0,15.49,-12.69,1013.09,-35.00,-577.50,0.00,,"Package=97,UTC=9:12:53,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.49,Ay=-12.69,Az=1013.09,Gx=-35.00,Gy=-577.50,Gz=0.00,T=34,H=72,SAT=0,VBAT=8.325,VSOLAR=0.191,V3V3=3.34"
,2025-09-21T01:13:04Z,COM6,,UTC=9:12:55,N/A,N/A,N/A,8.224,0.173,3.316,5.000,3.,,,34,72,SAT=0,15.62,-12.44,1014.43,-70.00,-612.50,0.00,,"Package=99,UTC=9:12:55,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.62,Ay=-12.44,Az=1014.43,Gx=-70.00,Gy=-612.50,Gz=0.00,T=34,H=72,SAT=0,VBAT=8.224,VSOLAR=0.173,V3V3=3.316,V5V=5.000,V3V3EF=3."
,2025-09-21T01:13:05Z,COM6,,UTC=9:12:56,N/A,N/A,N/A,8.317,0.193,3.336,5.000,,,,34,72,SAT=0,15.62,-12.69,1014.80,-35.00,-630.00,-52.50,,"Package=100,UTC=9:12:56,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.62,Ay=-12.69,Az=1014.80,Gx=-35.00,Gy=-630.00,Gz=-52.50,T=34,H=72,SAT=0,VBAT=8.317,VSOLAR=0.193,V3V3=3.336,V5V=5.000,V3V3EF"
,2025-09-21T01:13:08Z,COM6,,UTC=9:13:0,,,,,,,,,,,,,,,,,,,,,"Package=104,UTC=9:13:0,La"
,2025-09-21T01:13:09Z,COM6,,UTC=9:13:1,N/A,N/A,N/A,8.339,0.153,3.344,5,,,,34,70,SAT=0,15.49,-12.93,1011.01,-70.00,-612.50,-17.50,,"Package=105,UTC=9:13:1,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.49,Ay=-12.93,Az=1011.01,Gx=-70.00,Gy=-612.50,Gz=-17.50,T=34,H=70,SAT=0,VBAT=8.339,VSOLAR=0.153,V3V3=3.344,V5V=5"
,2025-09-21T01:13:12Z,COM6,,UTC=9:13:3,N/A,N/A,N/A,8.337,0.179,3.342,5.000,3.3,,,34,71,SAT=0,15.37,-13.18,1010.40,-52.50,-682.50,0.00,,"Package=107,UTC=9:13:3,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.37,Ay=-13.18,Az=1010.40,Gx=-52.50,Gy=-682.50,Gz=0.00,T=34,H=71,SAT=0,VBAT=8.337,VSOLAR=0.179,V3V3=3.342,V5V=5.000,V3V3EF=3.3"
